CWND_LOG: TIME: 46723, CWND: 13.00, SSTHRESH: 8
CWND_LOG: TIME: 46748, CWND: 13.08, SSTHRESH: 8
CWND_LOG: TIME: 46782, CWND: 6.00, SSTHRESH: 6
CWND_LOG: TIME: 47293, CWND: 7.00, SSTHRESH: 6
CWND_LOG: TIME: 47544, CWND: 8.00, SSTHRESH: 6
CWND_LOG: TIME: 48121, CWND: 9.00, SSTHRESH: 6
CWND_LOG: TIME: 48711, CWND: 10.00, SSTHRESH: 6
CWND_LOG: TIME: 49314, CWND: 11.00, SSTHRESH: 6
CWND_LOG: TIME: 49931, CWND: 12.00, SSTHRESH: 6
CWND_LOG: TIME: 50119, CWND: 13.00, SSTHRESH: 6
CWND_LOG: TIME: 50754, CWND: 14.00, SSTHRESH: 6
CWND_LOG: TIME: 51390, CWND: 14.93, SSTHRESH: 6
